Date_mutation,Nature_mutation,Valeur_fonciere,No_voie,Type_de_voie,Voie,Code_postal,Commune,Code_departement,Code commune,Section,Type_local,Surface_reelle_bati,Nombre_pieces_principales,Nature_culture,Surface_terrain
2019-02-04,Vente,160000.0,6.0,RUE,DE LA CRUEE,10270.0,LUSIGNY SUR BARSE,10,209,AB,Maison,73.0,3.0,S,2702.0
2019-01-10,Vente,461000.0,29.0,RUE,FEAUGAS,33100.0,BORDEAUX,33,63,BH,Appartement,67.0,2.0,S,261.0
2019-02-20,Vente,138000.0,1.0,PL,PIERRE YBRES,82700.0,FINHAN,82,62,AC,Maison,110.0,3.0,S,147.0
2019-11-14,Vente,464800.0,23.0,RUE,DU GAL DE GAULLE,59551.0,TOURMIGNIES,59,600,A,Maison,190.0,5.0,S,320.0
2019-06-18,Vente,700000.0,21.0,BD,DE LA TESTE,33120.0,ARCACHON,33,9,BE,Maison,114.0,4.0,S,915.0
2019-01-08,Vente,115000.0,12.0,RUE,DU STADE,85430.0,AUBIGNY-LES CLOUZEAUX,85,8,AD,Maison,90.0,3.0,S,597.0
2019-07-02,Vente,30000.0,1.0,,KERMORVAN,22160.0,MAEL-PESTIVIEN,22,138,D,Maison,77.0,3.0,T,500.0
2019-03-29,Vente,273000.0,14.0,CHE,DES TUILERIES,81600.0,GAILLAC,81,99,LT,Maison,133.0,5.0,J,1497.0
2019-07-10,Vente,470000.0,3.0,BD,DE MARRAKECH,13012.0,MARSEILLE 12EME,13,212,A,Maison,151.0,4.0,S,489.0
2019-05-03,Vente,350000.0,23.0,CHE,DES JONCHEROLLES,93380.0,PIERREFITTE-SUR-SEINE,93,59,Z,Maison,154.0,5.0,S,5.0
2019-09-18,Vente,56600.0,17.0,PL,DE MAINDIGOUR,23000.0,GUERET,23,96,AR,Maison,54.0,2.0,S,72.0
2019-02-08,Vente,520000.0,44.0,RUE,SAINT ANTOINE,59100.0,ROUBAIX,59,512,AZ,Appartement,31.0,2.0,S,96.0
2019-06-20,Vente,150000.0,29.0,RUE,VICTOR HUGO,54700.0,PONT A MOUSSON,54,431,AS,Maison,168.0,7.0,S,150.0
2019-07-22,Vente,220000.0,22.0,RUE,DU PETIT MOULIN,85350.0,ILE-D'YEU (L'),85,113,AP,Maison,120.0,4.0,S,675.0
2019-05-27,Vente,370000.0,9018.0,LOT,JANER,66300.0,LLUPIA,66,101,AA,Maison,117.0,4.0,AG,501.0
2019-06-15,Vente,90000.0,7.0,RUE,DES BOIS,51290.0,SAINTE-MARIE-DU-LAC-NUISEMENT,51,277,C,Maison,69.0,4.0,S,469.0
2019-02-28,Vente,215000.0,3950.0,RTE,DE BELAIR,64290.0,LASSEUBE,64,324,BP,Maison,170.0,5.0,S,795.0
2019-03-18,Vente,165000.0,15.0,RUE,DES IRIS,54150.0,VAL DE BRIEY,54,99,ZA,Maison,88.0,4.0,J,251.0
2019-12-20,Vente,263500.0,83.0,RUE,DES AUBEPINES,50400.0,SAINT-PLANCHERS,50,541,C,Maison,105.0,5.0,S,860.0
2019-11-13,Vente,70000.0,4.0,CHE,DE GROUSSOLES,81190.0,PAMPELONNE,81,201,B,Maison,97.0,4.0,S,975.0
2019-01-30,Vente,137500.0,395.0,RUE,GAMBETTA,59460.0,JEUMONT,59,324,AM,Maison,71.0,5.0,S,228.0
2019-01-29,Vente,177000.0,1.0,RUE,DENIS PAPIN,80000.0,AMIENS,80,21,CS,Appartement,23.0,1.0,S,62.0
2019-02-02,Vente,137000.0,30.0,CHE,DE BARRABIERES,81130.0,CAGNAC-LES-MINES,81,48,A,Maison,88.0,5.0,T,2514.0
2019-11-06,Vente,177000.0,10.0,RES,DES PINS,56330.0,PLUVIGNER,56,177,O,Maison,120.0,5.0,S,1260.0
2019-03-16,Vente,11000.0,5368.0,,LA MAISON NEUVE,3350.0,CERILLY,3,48,A,Maison,41.0,2.0,S,308.0
2019-05-21,Vente,150000.0,13.0,RUE,ELSA TRIOLET,79000.0,NIORT,79,191,KP,Maison,90.0,5.0,S,598.0
2019-12-10,Vente,134200.0,5.0,IMP,DES VIOLETTES,79200.0,VIENNAY,79,347,AB,Maison,106.0,5.0,S,840.0
2019-04-24,Vente,202000.0,5.0,PL,DE LA REPUBLIQUE,59290.0,WASQUEHAL,59,646,AT,Appartement,46.0,2.0,S,98.0
2019-04-25,Vente,81000.0,786.0,RUE,BERTRAND MILCENT,59400.0,CAMBRAI,59,122,BZ,Maison,81.0,4.0,S,216.0
2019-04-24,Vente,215000.0,18.0,RUE,DE LA PERRIERE,25640.0,ROULANS,25,508,AB,Maison,130.0,5.0,S,1116.0
2019-02-13,Vente,164850.0,42.0,RUE,DES JONQUILLES,62730.0,LES ATTAQUES,62,43,AC,Maison,106.0,5.0,S,235.0
2019-01-22,Vente,105000.0,8.0,RUE,DU TEMPLE,25150.0,PONT-DE-ROIDE,25,463,AM,Maison,81.0,5.0,S,1135.0
2019-12-05,Vente,72500.0,9002.0,,LES GARNISONS,49290.0,CHALONNES-SUR-LOIRE,49,63,ZH,Maison,95.0,3.0,S,579.0
2019-12-26,Vente,350000.0,39.0,RUE,CHARLES KELLER,54000.0,NANCY,54,395,AH,Appartement,38.0,1.0,S,208.0
2019-04-19,Vente,315000.0,5318.0,,LES TROUALS,46240.0,COEUR DE CAUSSE,46,138,E,Maison,136.0,5.0,T,36553.0
2019-06-27,Vente,85000.0,5159.0,,LA ROSIERE,14290.0,VALORBIQUET,14,570,B,Maison,52.0,2.0,S,1000.0
2019-03-08,Vente,52000.0,45.0,CHS,BRUNEHAUT,59530.0,RAUCOURT-AU-BOIS,59,494,A,Maison,74.0,1.0,S,425.0
